"","X1.Basin.Name","Total_richness","Native_richness","Exotic_richness"
"1978","Parramatta",57,53,4
"1979","Parry.Inlet",4,4,NA
"1980","Parseta",22,20,2
"1981","Pascagoula",127,127,NA
"1982","Pascoe",17,17,NA
"1983","Pasig",28,13,15
"1984","Passaic",40,40,NA
"1985","Pasvik",19,13,6
"1986","Patalganga.Bhogawati",52,45,7
"1987","Paterson",21,19,2
"1988","Pathanthe.Aru",31,29,2
"1989","Patia",82,77,5
"1990","Patriarch",14,14,NA
"1991","Pattani",70,69,1
"1992","Patuca",36,36,NA
"1993","Patuxent",52,52,NA
"1994","Paya",8,8,NA
"1995","Peace",50,46,4
"1996","Pearl",149,144,5
"1997","Peawah",1,1,NA
"1998","Peconic",17,15,2
"1999","Pedregal",9,9,NA
"2000","Peedee",132,105,27
"2001","Peipsi.Pskov",43,40,3
"2002","Pelorus",16,14,2
"2003","Penang.Ara",14,12,2
"2004","Penang.Bahang",9,8,1
"2005","Penang.Batu.Maung",7,7,NA
"2006","Penang.Bayan.Lepas",12,10,2
"2007","Penang.Burung",15,14,1
"2008","Penang.Kuala.Jalan.Baharu",5,5,NA
"2009","Penang.Masdij",7,6,1
"2010","Penang.Nibung",6,5,1
"2011","Penang.Pinang",2,2,NA
"2012","Penboscot",51,43,8
"2013","Penguin.creek",3,2,1
"2014","Penjina",24,24,NA
"2015","Pennar",84,81,3
"2016","Per.Aru",30,28,2
"2017","Perak",187,178,9
"2018","Perdido",83,83,NA
"2019","Pereque.Acu",13,13,NA
"2020","Periyar",67,62,5
"2021","Perlis",27,26,1
"2022","Pernatoye",7,7,NA
"2023","Pero.Seco",10,10,NA
"2024","Peruipe",29,29,NA
"2025","Perula",57,57,NA
"2026","Pestchanka",7,7,NA
"2027","Petchora",35,34,1
"2028","Petit.Mecatina",19,19,NA
"2029","Petit.Pabos",11,10,1
"2030","Petitcodiac",25,22,3
"2031","Petite.Cascapedia",5,5,NA
"2032","Petrohue",11,11,NA
"2033","Petronila.creek",14,14,NA
"2034","Pha",32,32,NA
"2035","Phattalung",27,26,1
"2036","Phetchaburi",17,16,1
"2037","Phillips",5,5,NA
"2038","Phong.Nha",52,51,1
"2039","Phuket",9,9,NA
"2040","Piako",17,11,6
"2041","Piasina",27,27,NA
"2042","Piave",29,22,7
"2043","Piaxlta",9,9,NA
"2044","Picaro",6,5,1
"2045","Pichin.Lora",8,6,2
"2046","Pidula",7,7,NA
"2047","Pieman",11,9,2
"2048","Pihla",5,5,NA
"2049","Pijijiapan",12,12,NA
"2050","Pikasvaiam",20,20,NA
"2051","Pilote",10,7,3
"2052","Pimpama",1,1,NA
"2053","Pinan",14,14,NA
"2054","Pine.Valley.Wash",2,2,NA
"2055","Pinios.Pel",12,9,3
"2056","Pinios.The",29,28,1
"2057","Pioneer",18,18,NA
"2058","Pipers",5,4,1
"2059","Piranhas",17,17,NA
"2060","Piraque",9,8,1
"2061","Piraque.Mirim",5,4,1
"2062","Pirita",19,18,1
"2063","Pirris",18,18,NA
"2064","Pium",16,16,NA
